"Duration (in seconds)","Finished","RecordedDate","age","prev.participant","diet_1","diet_2","diet_9","diet_3","diet_4","diet_5","diet_10","diet_6","diet_7","diet_8","diet_7_TEXT","happy","bored","proud","angry","hopeful","red.open","elim.open","control.open","speciesism_1","speciesism_2","speciesism_3","speciesism_4","speciesism_5","speciesism_6","gender","gender_3_TEXT","status","status_5_TEXT","elim.pledge","red.pledge","ID","notes_7","notes_1","notes_2","notes_3","notes_4","notes_5","notes_6","notes_3_TEXT","notes_4_TEXT","notes_5_TEXT","notes_6_TEXT","excluded","condition","date","purchase","meatveg","meatveg2"
393,TRUE,"9/13/2019 14:26",22,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat energized","Neither ashamed nor proud","Very calm","Neither despairing nor hopeful",NA,NA,"I think a lot of this has to do the types of foods available as well as how the people were raised to view what they eat
","Disagree","Strongly disagree","Somewhat disagree","Disagree","Agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"RQ013R","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge",NA,NA,NA,NA
598,TRUE,"9/13/2019 14:37",18,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Neither energized nor bored","Neither ashamed nor proud","Very calm","Very hopeful","Have meatless days during the week, or sourcing their meat through sustainable and local sources 
",NA,NA,"Somewhat agree","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Man",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","PQ014L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","13-Sep","TP","meat","fish"
369,TRUE,"9/13/2019 14:57",18,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,"They are understanding the importance of animals on earth and preserving them",NA,"Somewhat agree","Neither agree nor disagree","Disagree","Disagree","Somewhat agree","Somewhat agree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"TM016L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","13-Sep","SC","meat","poultry"
392,TRUE,"9/13/2019 14:57",18,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,"Other (please specify)",NA,"Pescitarian","Happy","Somewhat energized","Somewhat proud","Somewhat calm","Very hopeful",NA,NA,"lot of people. Become very comfortable with want they misbehave a hard time trying g New things they become good at one thing and are afraid to try something new
","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","QL015P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","13-Sep","TP","meat","fish"
496,TRUE,"9/13/2019 15:06",18,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat unhappy","Somewhat bored","Somewhat ashamed","Somewhat calm","Somewhat hopeful",NA,NA,"Protect animals and or to follow certain allergy or religion requirements","Agree","Strongly disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"RV017P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","13-Sep","SC","meat","poultry"
697,TRUE,"9/13/2019 15:18",18,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Neither energized nor bored","Neither ashamed nor proud","Very calm","Neither despairing nor hopeful",NA,"I think people are beginning to change because it makes them feel better. Animal cruelty is a reality but not everywhere. I'm indifferent to the issue because I eat both meat and plant based protein.",NA,"Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Disagree","Somewhat disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"PQ018R","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","13-Sep","CP","meat","poultry"
930,TRUE,"9/13/2019 15:20",18,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat unhappy","Somewhat bored","Somewhat proud","Somewhat angry","Somewhat despairing","Sympathy with animals",NA,NA,"Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","RT019R","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","13-Sep","FP","veg","vegprot"
596,TRUE,"9/13/2019 15:30",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,NA,"It depends on the 
Money and the taste","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Disagree","Man",NA,"Not affiliated with Carleton",NA,NA,"No, thanks","TL020M","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","13-Sep","GP","meat","red"
739,TRUE,"9/13/2019 15:31",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,"Other (please specify)",NA,"No lactose","Happy","Very energized","Neither ashamed nor proud","Somewhat calm","Neither despairing nor hopeful",NA,NA,"Some ppl stick to certain diet bc of health problems, some other because of some trends.","Disagree","Disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Woman",NA,"Not affiliated with Carleton",NA,"No, thanks",NA,"RR021T","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge",NA,NA,NA,NA
292,TRUE,"9/13/2019 15:41",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Neither despairing nor hopeful",NA,NA,"Some people don't like trying new things and prefer to.stick to the familiar","Somewhat disagree","Strongly disagree","Disagree","Somewhat disagree","Somewhat agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","QT022X","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge",NA,NA,NA,NA
512,TRUE,"9/13/2019 15:55",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,"Other (please specify)",NA,"Lactose intolerant","Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful","Climate change impact, global emissioms, and personal beliefs.",NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","ML023P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
399,TRUE,"9/16/2019 10:35",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,"Low-carb",NA,NA,NA,NA,NA,NA,"Neither unhappy nor happy","Somewhat bored","Neither ashamed nor proud","Neither calm nor angry","Neither despairing nor hopeful",NA,"Animal cruelty in slaughter houses has gone up and not eating meat is a protest to that",NA,"Disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Agree","Strongly disagree","I don’t see myself represented in the above options. My gender is:","Female",NA,NA,"No, thanks",NA,"TW090X","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate",NA,NA,NA,NA
374,TRUE,"9/16/2019 10:36",22,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Very happy","Neither energized nor bored","Very proud","Very calm","Neither despairing nor hopeful",NA,NA,"Personal preferences","Agree","Somewhat agree","Somewhat disagree","Agree","Disagree","Agree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"TW091XB","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","16-Sep","CCLUB","meat","meatunk"
328,TRUE,"9/16/2019 10:40",26,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,"Other (please specify)",NA,"Intermittent fasting","Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Neither despairing nor hopeful","Because plant based meat is slowly becoming indistinguishable from real meat.",NA,NA,"Disagree","Somewhat disagree","Disagree","Disagree","Agree","Somewhat disagree","Man",NA,"Carleton undergraduate student",NA,NA,"No, thanks","TW091XA","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","16-Sep","""Breakfast Pita"" but sausage was an add-on","meat","meatunk"
430,TRUE,"9/16/2019 10:45",24,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Very hopeful",NA,NA,"Those who like to eat different food types, because of experiencing different trades it lack of social or religious restrictions.","Strongly disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","Man",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","JK092L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","16-Sep","SC","meat","poultry"
372,TRUE,"9/16/2019 10:53",21,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Very calm","Somewhat hopeful",NA,"More awareness of our impact to animals, and also health consciousness (eg  red meat)",NA,"Somewhat disagree","Disagree","Strongly disagree","Neither agree nor disagree","Agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"JK095L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","16-Sep","EP","veg","veg"
317,TRUE,"9/16/2019 10:55",59,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Neither calm nor angry","Very hopeful",NA,"Yes",NA,"Somewhat disagree","Strongly disagree","Agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Woman",NA,"Carleton staff or faculty",NA,"No, thanks",NA,"JK093L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","16-Sep","GP","meat","red"
627,TRUE,"9/16/2019 11:06",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,"Low-carb",NA,"Pescetarian or avoiding certain meats",NA,NA,NA,NA,"Neither unhappy nor happy","Neither energized nor bored","Somewhat proud","Very calm","Somewhat hopeful",NA,NA,"I think it depends on personal preference and ability to cook. Some people are more comfortable sticking with the same foods","Agree","Disagree","Disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Woman",NA,"Carleton undergraduate student",NA,"Yes, I will pledge to stop eating meat",NA,"JK094L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","16-Sep","PATTY","veg","vegprot"
309,TRUE,"9/16/2019 11:14",26,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat bored","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful","Environmental concern, animal welfare, advanced meatless products",NA,NA,"Disagree","Disagree","Strongly disagree","Disagree","Somewhat agree","Somewhat disagree","I don’t see myself represented in the above options. My gender is:","Trans masculine","Carleton undergraduate student",NA,NA,"No, thanks","JK096L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","16-Sep","TOFU","veg","vegprot"
501,TRUE,"9/16/2019 11:17",20,"No, I promise that I haven’t done this before","Food allergy (nuts, shellfish, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,NA,"Some people are creatures of habit and sticking to certain staples is less time consuming and cheaper","Strongly disagree","Strongly disagree","Disagree","Disagree","Agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","JK097L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","16-Sep","CS","meat","poultry"
430,TRUE,"9/16/2019 11:22",32,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,NA,"I like to eat a range of foods but recently I have adopted a more balanced diet","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Agree","Neither agree nor disagree","Man",NA,"Not affiliated with Carleton",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","JK098L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","16-Sep","EP","veg","veg"
271,TRUE,"9/16/2019 11:25",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,"Pescetarian or avoiding certain meats",NA,NA,NA,NA,"Somewhat unhappy","Somewhat energized","Somewhat proud","Neither calm nor angry","Very despairing","Globa! Warning",NA,NA,"Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","JK099L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","16-Sep","FP","veg","vegprot"
762,TRUE,"9/16/2019 11:35",46,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Somewhat hopeful",NA,"I believe individuals are eli.imaging meet in their diets to be part of a cu!rural group in hope of weight loss or acceptance",NA,"Neither agree nor disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"JK100K","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","16-Sep","CS","meat","poultry"
445,TRUE,"9/16/2019 11:38",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,"Other (please specify)",NA,"Diabetic","Happy","Somewhat energized","Somewhat proud","Somewhat calm","Neither despairing nor hopeful",NA,NA,"I like the same things repeatedly","Somewhat agree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","PR637C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","16-Sep","CP","meat","poultry"
405,TRUE,"9/16/2019 11:46",21,"No, I promise that I haven’t done this before","Food allergy (nuts, shellfish, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat unhappy","Neither energized nor bored","Somewhat ashamed","Neither calm nor angry","Neither despairing nor hopeful",NA,"Good for the whole world. Good for animals",NA,"Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"PL638N","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate",NA,NA,NA,NA
363,TRUE,"9/16/2019 11:47",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful","Plant based products are becoming more affordsbld .",NA,NA,"Neither agree nor disagree","Disagree","Strongly disagree","Disagree","Strongly agree","Neither agree nor disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"No, thanks","TV639F","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","16-Sep","EP","veg","veg"
304,TRUE,"9/16/2019 11:54",19,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful","I believe it's mostly because people don't trust quality of meat anymore because they don't trust the process",NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Agree","Somewhat disagree","Man",NA,"Carleton undergraduate student",NA,NA,"No, thanks","RT641N","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
469,TRUE,"9/16/2019 11:55",21,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,"Low-carb",NA,NA,NA,NA,NA,NA,"Happy","Very energized","Somewhat proud","Very calm","Very hopeful",NA,NA,"Because new food opens up one's palate while others prefer what is known to them and makes them feel comfortable.","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Man",NA,"Carleton undergraduate student",NA,NA,"No, thanks","CX640W","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","16-Sep","""Breakfast Pita""--no add-ons","veg","vegprot"
311,TRUE,"9/16/2019 12:01",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat bored","Somewhat proud","Somewhat angry","Somewhat hopeful",NA,NA,NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"NP643X","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge",NA,NA,NA,NA
351,TRUE,"9/16/2019 12:06",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,"Pescetarian or avoiding certain meats",NA,NA,NA,NA,"Happy","Neither energized nor bored","Neither ashamed nor proud","Somewhat calm","Neither despairing nor hopeful",NA,NA,"Some people prefer to eat what they know whereas others enjoy cooking and trying new things.","Disagree","Disagree","Strongly disagree","Strongly disagree","Somewhat agree","Agree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","LV636T","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge",NA,NA,NA,NA
326,TRUE,"9/16/2019 12:10",32,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,NA,"Routine is comforting.","Agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"LP645H","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","16-Sep","FP","veg","vegprot"
561,TRUE,"9/16/2019 12:16",23,"Not sure",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Somewhat unhappy","Somewhat energized","Somewhat ashamed","Neither calm nor angry","Somewhat hopeful","Because they care about the world and it's future",NA,NA,"Disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Woman",NA,"Carleton staff or faculty",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","XR644C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
453,TRUE,"9/16/2019 12:19",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Neither energized nor bored","Somewhat proud","Somewhat calm","Neither despairing nor hopeful",NA,"In order to decrease the amount of animals being killed.",NA,"Disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat agree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"VX642F","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","16-Sep","SP","meat","red"
